UserUnit,Date,ProgNo,ProgName,orderNo,DMCRetractor,DMCMGG,No-actpartstotal,0No-actpartsok,1positionturntable,2contactposmm,3planaritymm,4distancemm,fric1Max/MinnU/min,fric2Max/MinnU/min,upset1Max/MinnU/min,8angelposdegree,fric11s_actmm,fric21s_actmm,brakes_actmm,upset11s_actmm,upset2s_actmm,totals_totmm,fric12t_acts,fric22t_acts,brake1t_acts,upset12t_acts,upset21t_acts,brake_n0t_acts,total1t_tots,fric13t_ups,fric23t_ups,upset13t-ups,upset22t_ups,total2L_FPmm,forceclampX1kN,positionclampX1mm,total3NOKBCD-Code,lastcycles,date,typenumber,typename,FWnumber,ST02cleanlaserprogno,ST02cleanlaserokstatus,ST03lasercamprogno,ST03lasercamokstatus,ST04FWokstatus,ST05anglecamprogno,ST05anglecamvalue,ST05anglecamokstatus,overallokstatus
ZapataF,2023-03-11 12:50:35,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690105,34311248A006102212,1692019,30,4,124.467,0.023,-20.553,13995.542,10789.039,-29.63,181.281,0.064,0.171,0.673,0.369,0.128,1.406,0.03,0.1,0.222,0.04,0.25,0.296,0.978,0.004,0.002,0.002,0.016,29.061,22.8,11.454,32,98.644,2023-11-03 11:38:42,45,CIVIC 1st LH DOM SLL3,1692020,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:51:20,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690106,34311248A006102212,1692020,31,5,124.496,0.042,-20.568,13995.586,10785.277,-76.983,181.054,0.064,0.193,0.813,0.371,0.118,1.56,0.03,0.1,0.224,0.04,0.25,0.294,0.974,0.002,0.002,0.002,0.014,28.937,22.7,11.454,0,86.052,2023-11-03 11:38:54,45,CIVIC 1st LH DOM SLL3,1692021,1,OK,2,OK,OK,5,182.82 ,OK,OK
ZapataF,2023-03-11 12:52:34,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690104,34311248A006102212,1692021,31,6,124.506,0.02,-20.535,13991.957,10785.41,-33.525,181.135,0.064,0.202,0.745,0.371,0.122,1.504,0.03,0.1,0.216,0.04,0.25,0.288,0.964,0,0,0,0,29.003,22.7,11.459,32,44.776,2023-11-03 11:41:03,45,CIVIC 1st LH DOM SLL3,1692023,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:52:45,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690103,34311248A006102212,1692022,31,1,124.496,0.016,-20.557,13993.418,10790.101,-58.706,181.136,0.064,0.21,0.78,0.371,0.122,1.547,0.03,0.1,0.222,0.04,0.25,0.294,0.972,0.002,0.002,0.002,0.016,28.949,22.7,11.46,32,73.508,2023-11-03 11:41:18,45,CIVIC 1st LH DOM SLL3,1692023,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:54:39,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YX,34311248A006102212,1692023,31,2,124.506,0.025,-20.555,13991.603,10792.27,-0.953,181.186,0.066,0.196,0.737,0.371,0.137,1.506,0.03,0.1,0.224,0.04,0.25,0.298,0.972,0,0,0,0,29,22.7,11.457,32,11.656,2023-11-03 11:44:06,45,CIVIC 1st LH DOM SLL3,1692024,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:55:09,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YT,34311248A006102212,1692024,31,3,124.476,0.023,-20.544,13992.533,10799.395,-30.117,180.974,0.064,0.178,0.719,0.371,0.118,1.45,0.03,0.1,0.22,0.04,0.25,0.29,0.974,0.002,0.002,0.002,0.016,29.026,22.7,11.455,32,14.828,2023-11-03 11:44:18,45,CIVIC 1st LH DOM SLL3,1692025,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:57:58,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YW,34311248A006102212,1692025,31,4,124.487,0.019,-20.544,13995.586,10790.101,-2.325,181.1,0.065,0.194,0.737,0.371,0.131,1.498,0.03,0.1,0.222,0.04,0.25,0.294,0.974,0.002,0.002,0.002,0.018,28.988,22.7,11.456,32,10.58,2023-11-03 11:46:11,45,CIVIC 1st LH DOM SLL3,1692026,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 12:58:09,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YZ,34311248A006102212,1692026,31,5,124.516,0.027,-20.539,13995.852,10797.093,-10.91,181.242,0.066,0.173,0.648,0.37,0.139,1.397,0.03,0.1,0.222,0.04,0.25,0.296,0.968,0.002,0.002,0.002,0.018,29.119,22.8,11.46,32,10.58,2023-11-03 11:47:03,45,CIVIC 1st LH DOM SLL3,1692027,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:00:03,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Z2,34311248A006102212,1692027,31,6,124.447,0.02,-20.55,13995.409,10792.092,-23.479,181.153,0.064,0.189,0.739,0.371,0.13,1.494,0.03,0.1,0.222,0.04,0.25,0.296,0.982,0.002,0.002,0.002,0.018,28.953,22.7,11.456,32,7.608,2023-11-03 11:51:17,45,CIVIC 1st LH DOM SLL3,1692029,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:00:54,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Z3,34311248A006102212,1692028,31,1,124.527,0.016,-20.544,13991.117,10791.075,-72.336,181.304,0.065,0.188,0.715,0.371,0.124,1.463,0.03,0.1,0.222,0.04,0.25,0.296,0.966,0,0,0,0,29.064,22.7,11.46,32,19.532,2023-11-03 11:51:38,45,CIVIC 1st LH DOM SLL3,1692029,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:04:36,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690102,34311248A006102212,1692029,31,2,124.486,0.022,-20.532,13993.551,10799.306,-65.344,181.404,0.071,0.106,0.487,0.364,0.172,1.2,0.03,0.1,0.224,0.04,0.25,0.3,0.976,0.01,0.002,0.002,0.028,29.287,22.7,11.459,32,19.532,2023-11-03 11:53:50,45,CIVIC 1st LH DOM SLL3,1692030,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:05:30,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690101,34311248A006102212,1692030,31,3,124.506,0.021,-20.535,13990.054,10824.487,-57.467,181.098,0.069,0.09,0.516,0.368,0.164,1.207,0.03,0.1,0.22,0.04,0.25,0.292,0.968,0.008,0.002,0.002,0.028,29.3,22.8,11.445,32,31.104,2023-11-03 11:54:03,45,CIVIC 1st LH DOM SLL3,1692031,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:07:42,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690100,34311248A006102212,1692031,31,4,124.516,0.023,-20.564,13987.842,10835.064,-0.687,181.361,0.07,0.077,0.492,0.364,0.185,1.187,0.03,0.1,0.226,0.04,0.25,0.302,0.972,0.008,0.002,0.002,0.03,29.329,22.7,11.455,36,10.58,2023-11-03 11:56:05,45,CIVIC 1st LH DOM SLL3,1692032,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:07:55,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Z1,34311248A006102212,1692032,31,5,124.466,0.02,-20.551,13994.037,10803.378,-70.256,181.608,0.07,0.117,0.422,0.361,0.179,1.149,0.03,0.1,0.222,0.04,0.25,0.3,0.978,0.008,0.002,0.002,0.03,29.317,22.7,11.453,36,10.58,2023-11-03 11:56:20,45,CIVIC 1st LH DOM SLL3,1692033,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:09:57,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Z5,34311248A006102212,1692033,31,6,124.526,0.019,-20.553,13986.735,10794.881,-28.48,181.482,0.069,0.12,0.472,0.363,0.176,1.199,0.03,0.1,0.218,0.04,0.25,0.294,0.962,0.01,0.002,0.002,0.03,29.327,22.7,11.458,32,108.388,2023-11-03 11:57:35,45,CIVIC 1st LH DOM SLL3,1692034,1,OK,2,OK,NOK,5,,NOK,NOK
ZapataF,2023-03-11 13:10:12,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Z0,34311248A006102212,1692034,31,1,124.556,0.032,-20.504,13992.887,10796.961,-30.338,181.511,0.07,0.152,0.502,0.364,0.182,1.27,0.03,0.1,0.224,0.04,0.25,0.302,0.962,0.008,0.002,0.002,0.032,29.287,22.8,11.459,32,10.552,2023-11-03 11:57:57,45,CIVIC 1st LH DOM SLL3,1692035,1,OK,2,OK,NOK,5,,NOK,NOK
